label,feature01,feature02,feature03,feature04,feature05,feature06,feature07,feature08,feature09,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23,feature24,feature25,feature26,feature27,feature28,feature29,feature30,feature31,feature32,feature33,feature34,feature35,feature36,feature37,feature38,feature39,feature40,feature41,feature42,feature43,feature44,feature45,feature46,feature47,feature48,feature49,feature50,feature51,feature52,feature53,feature54,feature55,feature56,feature57,feature58,feature59,feature60,feature61,feature62,feature63,feature64,feature65,feature66,feature67,feature68,feature69,feature70,feature71,feature72,feature73,feature74,feature75,feature76,feature77,feature78,feature79,feature80,feature81,feature82,feature83,feature84,feature85,feature86,feature87,feature88,feature89,feature90,feature91,feature92,feature93,feature94,feature95,feature96,feature97,feature98,feature99,feature100,feature101,feature102,feature103,feature104,feature105,feature106,feature107,feature108,feature109,feature110,feature111,feature112,feature113,feature114,feature115,feature116,feature117,feature118,feature119,feature120,feature121,feature122,feature123,feature124,feature125,feature126,feature127,feature128,feature129,feature130,feature131,feature132,feature133,feature134,feature135,feature136,feature137,feature138,feature139,feature140,feature141,feature142,feature143,feature144,feature145,feature146,feature147,feature148,feature149,feature150,feature151,feature152,feature153,feature154,feature155,feature156,feature157,feature158,feature159,feature160
1,-0.53272228,-0.50476361,-0.49104476,-0.474113267,-0.467774811,-0.449193583,-0.435214249,-0.432348919,-0.402827342,-0.3934499,-0.393363072,-0.389803117,-0.365751715,-0.351859208,-0.35177238,-0.310181688,-0.31009486,-0.268504168,-0.26841734,-0.268330511,-0.230299774,-0.223961318,-0.185235956,-0.185149127,-0.185062299,-0.143732092,-0.143558435,-0.143471607,-0.104919901,-0.101967743,-0.101880915,-0.071664713,-0.060377051,-0.060290223,-0.032939351,-0.029987193,-0.018786359,-0.005241165,0.00873817,0.008824998,0.022370192,0.039214856,0.05041569,0.052846879,0.077853391,0.078027047,0.091572241,0.091659069,0.119270426,0.119444083,0.119530911,0.135941434,0.161034775,0.163986932,0.17831358,0.202799123,0.202885951,0.20957172,0.233536294,0.237356734,0.24794977,0.258629634,0.283288834,0.313939177,0.317064991,0.328352653,0.331478467,0.355877182,0.356050838,0.356224494,0.36968286,0.373416471,0.384096336,0.397554702,0.397815186,0.414312538,0.425339715,0.43931905,0.467190892,0.46727772,-0.441997519,-0.240384615,-0.357630273,-0.15601737,-0.286290323,-0.208126551,-0.142990074,-0.041873449,-0.091501241,-0.017679901,0.059863524,0.148573201,-0.03939206,0.006513648,0.086538462,0.056141439,0.129342432,0.08219603,0.146712159,0.224875931,0.097084367,0.197580645,0.08219603,0.15601737,0.233560794,0.052419355,0.129962779,0.208126551,0.026364764,0.121277916,0.199441687,-0.02016129,0.087158809,0.164702233,-0.103287841,0.000310174,0.104528536,-0.183933002,-0.085918114,0.007133995,-0.265198511,-0.154776675,-0.05117866,-0.336538462,-0.25837469,-0.16780397,-0.427109181,-0.368796526,-0.453163772,-0.301799007,-0.223635236,-0.401054591,-0.310483871,-0.206265509,-0.394230769,-0.214950372,-0.121898263,-0.361972705,-0.050558313,-0.309863524,-0.167183623,0.059863524,-0.172146402,-0.066687345,0.224875931,0.356389578,0.098945409,0.209367246,0.28691067,0.442617866,0.144230769,0.35825062,0.533808933,0.248449132,0.459987593,0.354528536,0.261476427,0.325992556,0.481699752,0.546836228
1,-0.472779923,-0.459266409,-0.447683398,-0.453474903,-0.4496139,-0.441891892,-0.436100386,-0.43996139,-0.432239382,-0.43030888,-0.432239382,-0.416795367,-0.397490347,-0.387837838,-0.38011583,-0.368532819,-0.37046332,-0.355019305,-0.343436293,-0.331853282,-0.312548263,-0.302895753,-0.268146718,-0.248841699,-0.235328185,-0.208301158,-0.192857143,-0.158108108,-0.156177606,-0.119498069,-0.10019305,-0.084749035,-0.053861004,-0.036486486,-0.009459459,0.00019305,0.013706564,0.036872587,0.040733591,0.054247104,0.067760618,0.083204633,0.092857143,0.096718147,0.104440154,0.116023166,0.131467181,0.141119691,0.156563707,0.164285714,0.168146718,0.181660232,0.177799228,0.193243243,0.191312741,0.204826255,0.208687259,0.216409266,0.231853282,0.241505792,0.256949807,0.260810811,0.274324324,0.278185328,0.287837838,0.299420849,0.311003861,0.316795367,0.345752896,0.3496139,0.357335907,0.395945946,0.405598456,0.422972973,0.438416988,0.45965251,0.469305019,0.469305019,0.492471042,0.527220077,-0.621289063,-0.668164063,-0.441601563,-0.472851563,-0.558789063,-0.402539063,-0.371289063,-0.472851563,-0.394726563,-0.261914063,-0.433789063,-0.293164063,-0.152539063,-0.082226562,-0.090039062,0.027148438,-0.004101562,0.011523438,0.097460938,0.097460938,0.175585938,0.175585938,0.214648438,0.269335938,0.245898438,0.308398438,0.284960938,0.308398438,0.284960938,0.284960938,0.261523438,0.269335938,0.214648438,0.191210938,0.128710938,0.120898438,0.105273438,0.066210938,0.042773438,0.011523438,0.003710938,-0.035351562,-0.058789062,-0.027539062,-0.082226562,-0.074414062,-0.090039062,-0.136914063,-0.129101563,-0.097851562,-0.129101563,-0.090039062,-0.121289063,-0.074414062,-0.113476563,-0.097851562,-0.058789062,-0.082226562,-0.027539062,-0.004101562,-0.019726562,0.003710938,0.003710938,0.042773438,0.066210938,0.058398438,0.058398438,0.097460938,0.152148438,0.120898438,0.136523438,0.206835938,0.191210938,0.238085938,0.253710938,0.284960938,0.284960938,0.253710938,0.284960938,0.331835938
1,-0.307098446,-0.305803109,-0.302176166,-0.300621762,-0.300362694,-0.296735751,-0.293626943,-0.293108808,-0.292590674,-0.28611399,-0.279637306,-0.277046632,-0.275751295,-0.273160622,-0.269792746,-0.262020725,-0.260207254,-0.254248705,-0.250362694,-0.245440415,-0.244145078,-0.238704663,-0.229119171,-0.220051813,-0.214611399,-0.212797927,-0.207357513,-0.200103627,-0.194145078,-0.189740933,-0.189222798,-0.182746114,-0.172901554,-0.167720207,-0.161243523,-0.160984456,-0.149585492,-0.14388601,-0.134300518,-0.133005181,-0.119792746,-0.104248705,-0.097512953,-0.080673575,-0.070569948,-0.067202073,-0.052953368,-0.038445596,-0.021606218,-0.007357513,0.008704663,0.024766839,0.039274611,0.052487047,0.066735751,0.084611399,0.101450777,0.120621762,0.141606218,0.162849741,0.184093264,0.206373057,0.22865285,0.253005181,0.364145078,0.382797927,0.406891192,0.428911917,0.44626943,0.464145078,0.479689119,0.502746114,0.527357513,0.551709845,0.574248705,0.598341969,0.620880829,0.646010363,0.670362694,0.692901554,0.614735401,0.603786496,0.589187956,0.570939781,0.552691606,0.541742701,0.494297445,0.530793796,0.516195255,0.472399635,0.43955292,0.362910584,0.421304745,0.406706204,0.392107664,0.362910584,0.341012774,0.322764599,0.308166058,0.289917883,0.242472628,0.271669708,0.242472628,0.202326642,0.184078467,0.140282847,0.165830292,0.143932482,0.114735401,0.056341241,0.100136861,0.070939781,0.059990876,0.038093066,-0.005702555,0.023494526,-0.01665146,-0.005702555,-0.034899635,-0.064096715,-0.064096715,-0.085994526,-0.115191606,-0.111541971,-0.133439781,-0.158987226,-0.155337591,-0.166286496,-0.191833942,-0.199133212,-0.224680657,-0.221031022,-0.250228102,-0.250228102,-0.268476277,-0.279425182,-0.294023723,-0.308622263,-0.323220803,-0.341468978,-0.352417883,-0.367016423,-0.377965328,-0.385264599,-0.363366788,-0.359717153,-0.352417883,-0.348768248,-0.341468978,-0.337819343,-0.334169708,-0.330520073,-0.326870438,-0.326870438,-0.326870438,-0.330520073,-0.330520073,-0.334169708,-0.341468978,-0.352417883
1,-0.445032051,-0.44360755,-0.410844017,-0.409419516,-0.405146011,-0.40372151,-0.38377849,-0.382353989,-0.372382479,-0.366684473,-0.358137464,-0.352439459,-0.351014957,-0.32394943,-0.319675926,-0.315402422,-0.291185897,-0.28406339,-0.259846866,-0.258422365,-0.249875356,-0.228507835,-0.225658832,-0.222809829,-0.198593305,-0.194319801,-0.190046296,-0.161556268,-0.161556268,-0.160131766,-0.125943732,-0.124519231,-0.120245726,-0.084633191,-0.084633191,-0.078935185,-0.057567664,-0.050445157,-0.041898148,-0.029077635,-0.029077635,0.005110399,0.007959402,0.022204416,0.027902422,0.062090456,0.062090456,0.079184473,0.083457977,0.113372507,0.114797009,0.123344017,0.134740028,0.150409544,0.154683048,0.187446581,0.193144587,0.208814103,0.22590812,0.231606125,0.244426638,0.267218661,0.270067664,0.287161681,0.302831197,0.318500712,0.322774217,0.349839744,0.355537749,0.374056268,0.395423789,0.413942308,0.415366809,0.44670584,0.452403846,0.470922365,0.490865385,0.507959402,0.527902422,0.554967949,-0.490521523,-0.46513521,-0.392287528,-0.47727649,-0.438645143,-0.419881347,-0.36910872,-0.460720199,-0.41325883,-0.45740894,-0.360278698,-0.33709989,-0.397806291,-0.372419978,-0.331581126,-0.311713576,-0.283016004,-0.309506071,-0.249903422,-0.286327263,-0.27308223,-0.214583333,-0.256525938,-0.242177152,-0.175951987,-0.217894592,-0.202442053,-0.161603201,-0.135113135,-0.179263245,-0.118556843,-0.13732064,-0.089859272,-0.071095475,-0.090963024,-0.040190397,-0.04129415,-0.047916667,-0.02915287,0.012789735,-0.007077815,0.009478477,0.027138521,0.049213576,0.070184879,0.067977373,0.087844923,0.107712472,0.131995033,0.129787528,0.124268764,0.143032561,0.164003863,0.177248896,0.198220199,0.193805188,0.211465232,0.233540287,0.247889073,0.269964128,0.262237859,0.265549117,0.281001656,0.303076711,0.318529249,0.346123068,0.333981788,0.340604305,0.356056843,0.379235651,0.395791943,0.425593267,0.412348234,0.418970751,0.434423289,0.456498344,0.473054636,0.486299669,0.499544702,0.509478477
1,-0.520960941,-0.512343048,-0.505068804,-0.495338924,-0.485099384,-0.476018162,-0.464295974,-0.461840337,-0.453732104,-0.442148913,-0.430241394,-0.42597878,-0.418148543,-0.40786267,-0.406055692,-0.393406848,-0.389839225,-0.376078395,-0.367738498,-0.348881064,-0.341143493,-0.321035074,-0.31760645,-0.297868693,-0.287907149,-0.270486031,-0.254315897,-0.234022147,-0.215628041,-0.190191354,-0.175967196,-0.144414586,-0.124769495,-0.102807765,-0.076305426,-0.060459621,-0.026775703,-0.007732938,0.014738452,0.039294815,0.05212899,0.075851364,0.081272298,0.11217625,0.12593708,0.143265533,0.167590233,0.181026734,0.190895612,0.202061808,0.208270398,0.226942501,0.243066302,0.267344669,0.277723208,0.288055414,0.289677061,0.30158458,0.305893527,0.3134921,0.319052032,0.327530927,0.330959551,0.342867071,0.362048835,0.373771023,0.386095538,0.389709494,0.402960663,0.404489645,0.416258166,0.418065144,0.429509336,0.43543993,0.448088774,0.458467312,0.459810962,0.466297549,0.471764815,0.479039059,-0.542659181,-0.494525772,-0.442412829,-0.39427942,-0.343113985,-0.297444097,-0.241162119,-0.307298181,-0.241920125,-0.152096362,-0.10491046,-0.134662213,-0.059809077,-0.06833665,-0.009970153,-0.013191681,0.045932822,0.051049365,0.110552871,0.13518808,0.178015444,0.202271651,0.237897953,0.251731571,0.292663919,0.300812488,0.340607826,0.36694855,0.38343519,0.413376445,0.420577506,0.443128198,0.455066799,0.454119291,0.457340819,0.45392979,0.440475175,0.435548133,0.413755448,0.394805287,0.375476123,0.358610479,0.331322247,0.28337834,0.283946845,0.228233371,0.170245878,0.171003885,0.113016392,0.120406955,0.062798465,0.010306519,-0.037068884,-0.123292117,-0.168014497,-0.154370381,-0.210841861,-0.258596267,-0.23073953,-0.308624692,-0.27659892,-0.358463616,-0.317152265,-0.38954188,-0.401101478,-0.364527667,-0.37305524,-0.322647811,-0.321131798,-0.270345367,-0.279820447,-0.221453951,-0.232634546,-0.178626587,-0.137315236,-0.148495831,-0.089181827,-0.037447887,-0.091455846,-0.037637389
1,-0.50984897,-0.493145184,-0.482120685,-0.462632934,-0.446096186,-0.435071687,-0.434180818,-0.419815562,-0.409960329,-0.39971534,-0.399158547,-0.386240952,-0.384681932,-0.371263224,-0.355450306,-0.341530484,-0.325606208,-0.318590618,-0.304615117,-0.288635161,-0.27003828,-0.263635161,-0.256229816,-0.244091732,-0.231953647,-0.208456988,-0.19264407,-0.162744293,-0.148323357,-0.139748747,-0.110962556,-0.099548302,-0.092588391,-0.082621798,-0.07076211,-0.048713112,-0.040361219,-0.022488168,-0.010238725,0.011531876,0.024449471,0.028347021,0.040373747,0.046275752,0.065095351,0.073948357,0.089594237,0.096999582,0.123113168,0.124672188,0.136476197,0.152901587,0.167934994,0.182634326,0.200563057,0.215373747,0.231854816,0.252456153,0.26593054,0.26826907,0.292712277,0.307077533,0.309026308,0.313647689,0.330351476,0.34638711,0.349226754,0.362422745,0.383302478,0.3878125,0.395774638,0.409805818,0.427567511,0.430295796,0.441821409,0.457857043,0.46904858,0.476788001,0.484638781,0.49015103,-0.305320144,-0.279856205,-0.277114746,-0.27484777,-0.260771431,-0.28054157,-0.259506142,-0.257186446,-0.280805172,-0.257397327,-0.274742329,-0.278432755,-0.260824151,-0.282334063,-0.283599352,-0.289187711,-0.289345872,-0.29472335,-0.290611161,-0.267994122,-0.2733716,-0.280436129,-0.253759621,-0.25497219,-0.262616644,-0.252547053,-0.225659664,-0.217962489,-0.212268689,-0.213428538,-0.203095345,-0.210687078,-0.193131195,-0.189862532,-0.19534545,-0.194554645,-0.163291465,-0.172043046,-0.162553379,-0.136456796,-0.134084379,-0.114894164,-0.115052325,-0.098023645,-0.072559706,-0.046990326,-0.060012257,-0.036551692,0.001617856,0.018699257,-0.00064912,0.049382513,0.044584959,0.086497654,0.089502715,0.14280301,0.141854044,0.204011361,0.225310391,0.207385465,0.27481482,0.30048964,0.277503559,0.313827894,0.344616591,0.344774752,0.368973403,0.405192298,0.455751133,0.437826207,0.448633883,0.491811867,0.558819459,0.545586646,0.549698835,0.580329371,0.601417519,0.615599299,0.694679856,0.670006722
1,-0.655864473,-0.652808899,-0.6241629,-0.581257559,-0.538352218,-0.472784709,-0.438855115,-0.406325991,-0.357500477,-0.295179515,-0.259403845,-0.254438538,-0.230821504,-0.192435865,-0.178431154,-0.175757528,-0.163980839,-0.162198421,-0.145902031,-0.143228404,-0.135080209,-0.12960564,-0.124194729,-0.119675027,-0.102487428,-0.102487428,-0.09440289,-0.091665606,-0.072695589,-0.069958304,-0.069958304,-0.048251003,-0.048251003,-0.042840092,-0.033800688,-0.018395506,-0.015721879,-0.011647782,0.019544529,0.033103635,0.059139665,0.060221847,0.062959132,0.084666433,0.101854033,0.109047361,0.109047361,0.11452193,0.117195557,0.122606468,0.138902858,0.147051054,0.147051054,0.150679547,0.16061016,0.168758355,0.170540773,0.193139283,0.201287479,0.204024763,0.213955376,0.220257496,0.225732064,0.232034184,0.250112993,0.250112993,0.258261188,0.259152397,0.26908301,0.279968489,0.283787956,0.288116685,0.288116685,0.309823986,0.317908524,0.317908524,0.317908524,0.324274301,0.334204914,0.344135527,-0.404845792,-0.423580531,-0.408252108,-0.402137156,-0.399079679,-0.400208278,-0.399633718,-0.399633718,-0.401952476,-0.38988673,-0.38069378,-0.36419572,-0.362328402,-0.318497733,-0.343880943,-0.283470133,-0.30360023,-0.329927359,-0.318518253,-0.263935116,-0.274195104,-0.304379989,-0.295474319,-0.240234543,-0.272245706,-0.241670942,-0.223654403,-0.205843063,-0.171390023,-0.193654197,-0.212635175,-0.132976628,-0.145268093,-0.158031519,-0.175452978,-0.121444401,-0.137121663,-0.081081608,-0.026785751,-0.082148647,-0.025164673,-0.039569696,0.003419654,0.053652556,0.068775778,0.040396651,0.083550161,0.130109987,0.099822502,0.113755566,0.143960971,0.12754499,0.113755566,0.160212792,0.179850409,0.23067839,0.19661523,0.246745532,0.223332239,0.268229947,0.286041286,0.344502698,0.308079741,0.328250877,0.365802434,0.329789875,0.345774937,0.386712289,0.405877947,0.42968112,0.486131574,0.46337492,0.450016416,0.503429914,0.483566577,0.519702255,0.470331192,0.535379517,0.555407014,0.576419469
1,-0.499852476,-0.481616645,-0.462245395,-0.442875012,-0.423402725,-0.423561653,-0.405332388,-0.407156269,-0.40904346,-0.386766226,-0.390922821,-0.366938471,-0.376290799,-0.348502567,-0.352205689,-0.329955518,-0.325834875,-0.311505315,-0.287885684,-0.279186291,-0.222680542,-0.201266569,-0.1822854,-0.171644122,-0.166028031,-0.16454764,-0.148383397,-0.135416473,-0.123996003,-0.104798177,-0.08486453,-0.093104732,-0.066245306,-0.073639816,-0.046390452,-0.047535545,-0.052523825,-0.027291062,-0.030579585,-0.010252814,-0.004054891,0.004382461,0.015534541,0.033724236,0.033561947,0.049849382,0.071990927,0.067684904,0.085572462,0.111657582,0.103466525,0.124612872,0.138826898,0.15388559,0.166860032,0.176731796,0.187895801,0.207376978,0.222194381,0.239939489,0.254457031,0.270917921,0.290321044,0.283717825,0.314728346,0.325044589,0.343914337,0.334150982,0.3716845,0.391074613,0.382896205,0.40233185,0.420533073,0.439921018,0.457893859,0.451194155,0.469489333,0.479580084,0.4888621,0.500147524,-0.409117328,-0.403859036,-0.401456574,-0.399201616,-0.379614804,-0.406645123,-0.324117092,-0.359967448,-0.40658568,-0.308995913,-0.34253267,-0.300212137,-0.323113176,-0.260925812,-0.287171675,-0.261525923,-0.246574515,-0.278597443,-0.259114812,-0.268877514,-0.260803992,-0.253918951,-0.249272783,-0.2684372,-0.227769321,-0.250339199,-0.219733481,-0.194906826,-0.212191505,-0.16089824,-0.14123052,-0.170948955,-0.117084707,-0.152615936,-0.072337249,-0.102481431,-0.127822962,-0.069140444,-0.099339057,-0.071599283,-0.036489597,-0.051626645,-0.020495023,0.000432491,-0.027169411,-0.000552437,0.041892249,0.015008256,0.039419258,0.086296358,0.064936548,0.094892202,0.121606045,0.13520624,0.14705949,0.179919014,0.158208237,0.179306978,0.230255697,0.230438977,0.230387791,0.286505795,0.294329072,0.268673633,0.330198141,0.347203064,0.355761665,0.341340284,0.414876005,0.420486704,0.401278011,0.414632731,0.492391429,0.497633365,0.53654904,0.494483654,0.588222076,0.566875659,0.590882672,0.589822617
1,-0.420091478,-0.420091478,-0.416555827,-0.414675758,-0.414675758,-0.403816258,-0.403816258,-0.39688526,-0.387541039,-0.380385554,-0.376681539,-0.372500491,-0.356000786,-0.356000786,-0.343148974,-0.328473216,-0.317473412,-0.300945646,-0.288093835,-0.272043101,-0.260061172,-0.245890507,-0.234890703,-0.216314505,-0.207363134,-0.191761372,-0.190218032,-0.167601089,-0.162634341,-0.144731599,-0.139456183,-0.119280523,-0.11720403,-0.115604568,-0.092538654,-0.090518282,-0.075225187,-0.064225384,-0.062990712,-0.037904425,-0.020170048,-0.006813144,0.009181469,0.015607374,0.034885091,0.034885091,0.056884698,0.063619272,0.089940231,0.091988663,0.11743974,0.11743974,0.133967506,0.144967309,0.163571569,0.164245026,0.189022645,0.190846592,0.214726268,0.216550215,0.238577883,0.246434885,0.268462553,0.285495412,0.31992592,0.349894772,0.367937817,0.372259169,0.398215338,0.425742908,0.442270674,0.452063866,0.467048293,0.472548194,0.497325813,0.497325813,0.522103432,0.522103432,0.557880854,0.579908522,-0.339995504,-0.339995504,-0.354120789,-0.339995504,-0.339995504,-0.330914963,-0.330914963,-0.313368025,-0.294636669,-0.273975149,-0.276519455,-0.310428913,-0.224097978,-0.26950068,-0.283582098,-0.225326263,-0.267658251,-0.225326263,-0.26520168,-0.232257304,-0.287749496,-0.24190812,-0.294768271,-0.332274851,-0.271343108,-0.388337318,-0.328546127,-0.278493486,-0.35162035,-0.22190461,-0.28437171,-0.227168692,-0.16671949,-0.254454181,-0.201681764,-0.130309594,-0.183959357,-0.078195188,-0.13846892,-0.091443126,-0.023010068,-0.056480852,0.007653207,-0.041390485,0.05981148,0.009188564,0.015329992,0.073059418,0.052441766,0.106925009,0.133377018,0.091966244,0.179349996,0.137983089,0.190272965,0.133377018,0.17382271,0.220760769,0.203871842,0.252959401,0.2184358,0.270023798,0.267391757,0.322006602,0.320909918,0.357714621,0.344905356,0.406670578,0.418514761,0.436456506,0.501292442,0.44150125,0.501292442,0.459881668,0.565689704,0.524278931,0.565689704,0.524278931,0.611662682,0.611662682
2,-0.404304505,-0.390259301,-0.373398563,-0.359367788,-0.339709552,-0.328481685,-0.311610125,-0.291946478,-0.288943362,-0.266428107,-0.242236519,-0.221481469,-0.22140842,-0.204493572,-0.176334623,-0.159387309,-0.131206716,-0.114259402,-0.074780599,-0.057833284,-0.012662089,0.004285226,0.049478065,0.06642538,0.105969115,0.122916429,0.162525096,0.179472411,0.213410329,0.230357644,0.2586681,0.278446461,0.299491928,0.318993759,0.334108542,0.352938892,0.368068104,0.388759844,0.388835599,0.411399552,0.411475307,0.434023027,0.434096076,0.456668146,0.479260507,0.503706143,0.496233525,0.525610726,0.515983748,0.548142213,0.547955661,0.57070462,0.561106244,-0.409227738,-0.42929538,-0.382666873,-0.36945035,-0.356080444,-0.356208263,-0.329545142,-0.322949663,-0.289793318,-0.289921137,-0.256636973,-0.309656448,0.009943108,0.083311427,0.089983598,0.136791052,0.216984925,-0.056727476,-0.116725889,-0.156707789,-0.209982902,-0.243215939,-0.289691062,-0.409329994,-0.382794692,-0.336294005,-0.283095583,-0.495500352,-0.430949524,-0.358892786,-0.282332503,-0.187758035,-0.129211935,-0.06616229,0.023908632,-0.124708389,-0.057155198,0.02571005,0.14775615,0.086958277,0.113979554,0.186036292,0.186036292,0.240078845,0.240078845,0.294121398,0.294121398,0.312135583,0.312135583,0.312135583,0.312135583,0.312135583,0.312135583,0.258093029,0.258093029,0.22206466,0.22206466,0.168022107,0.162617852,0.110119372,0.11097719,0.068944093,0.068944093,0.01490154,0.032915724,-0.030133921,-0.003112645,-0.06616229,-0.025630375,-0.086428247,-0.06616229,-0.06278463,-0.034637467,-0.084176474,-0.018553374,-0.06616229,0.035489179,-0.033136285,0.063797183,-0.007616191,-0.63687151,-0.594318318,-0.530488531,-0.424105552,-0.445382148,-0.338999169,-0.317722574,-0.253892787,-0.083680021,0.022702958,0.086532745,-0.211339595,0.341851894,0.36312849,0.36312849,0.278022107,0.171639128,0.299298703,0.256745511,0.21419232,0.129085937,0.022702958,-0.168786404,-0.551765127,-0.424105552,-0.253892787,-0.104956616
